,Company,Menu
936,Starbucks,New! Starbucks 6 x 250 ml
937,Starbucks,New! Starbucks 3 x 250 ml
938,Starbucks,2 Caramel Macchiato
939,Starbucks,2 Java Chip Frappuccino
941,Starbucks,JavaChip Frappuccino + Vanilla Cream Frappuccino + ChoChip Cream Frappuccino
943,Starbucks,2 Java Chip Frappuccino + 2 Caramel Macchiato
945,Starbucks,Mango Macaroon Cream Frappuccino
954,Starbucks,1 Belgium Chocolate Coffee Frappuccino+1 Belgium Chocolate Cream Frappuccino
956,Starbucks,Starbucks Special 21st Anniversary
960,Starbucks,New! Starbucks 6 x 250 ml
961,Starbucks,New! Starbucks 3 x 250 ml
962,Starbucks,2 Caramel Macchiato
963,Starbucks,2 Java Chip Frappuccino
965,Starbucks,JavaChip Frappuccino + Vanilla Cream Frappuccino + ChoChip Cream Frappuccino
967,Starbucks,2 Java Chip Frappuccino + 2 Caramel Macchiato
969,Starbucks,Americano + VIA Italian Roast / Colombia
972,Starbucks,Caffe Americano
973,Starbucks,Salted Caramel Macchiato
974,Starbucks,Caramel Macchiato
976,Starbucks,Cold Brew Coffee
981,Starbucks,Cappuccino
982,Starbucks,Vanilla Sweet Cream Cold Brew
983,Starbucks,Caffe Mocha
988,Starbucks,Caramel Signature Chocolate
989,Starbucks,Signature Chocolate
990,Starbucks,Hazelnut Signature Chocolate
992,Starbucks,Milk
993,Starbucks,Classic Chocolate
994,Starbucks,Caramel Macchiato Frappuccino
995,Starbucks,Vanilla Cream Frappuccino
996,Starbucks,Caramel Cream Frappuccino
997,Starbucks,Hazelnut Cream Frappuccino
998,Starbucks,Double Chocolate Cream Frappuccino
1000,Starbucks,Coffee Frappuccino
1001,Starbucks,Salted Caramel Javachip Frappuccino
1002,Starbucks,Caramel Frappuccino
1003,Starbucks,Mocha Frappuccino
1004,Starbucks,Asian Dolce Frappuccino
1005,Starbucks,Hazelnut Frappuccino
1006,Starbucks,Espresso Frappuccino
1007,Starbucks,Caramel Java Chip Frappuccino
1008,Starbucks,Dark Mocha Frappuccino
1009,Starbucks,Java Chip Frappuccino
1010,Starbucks,Raspberry Curant Frappuccino
