,Company,Jenis,Menu,Calories,Carbo,Protein,Fat
883,J.CO Donuts & Coffee,Donuts,DONUTS 1 DZN,,,,
884,J.CO Donuts & Coffee,Donuts,DONUTS 2 DZN,,,,
885,J.CO Donuts & Coffee,Donuts,JPOP 2 DZN,,,,
886,J.CO Donuts & Coffee,Burger,Jclub 1/2 dzn,,,,
888,J.CO Donuts & Coffee,Ice cream,Jcool To Go,,,,
907,J.CO Donuts & Coffee,Donuts,Cheezy Rich,,,,
908,J.CO Donuts & Coffee,Cookies,Caramel Almond,,,,
909,J.CO Donuts & Coffee,Cookies,St Choco,,,,
912,J.CO Donuts & Coffee,Cookies,Golden Nastar,,,,
916,J.CO Donuts & Coffee,Cake,Red Velvet,,,,
917,J.CO Donuts & Coffee,Cake,Black Forest,,,,
918,J.CO Donuts & Coffee,Cake,Red Velvet Cheese,,,,
919,J.CO Donuts & Coffee,Waffle,Jcroffle,,,,
1014,Starbucks,Hot dog,Mexican Beef Sausage Sandwich,,,,
1015,Starbucks,Cake,Klappertaart Cake,,,,
1016,Starbucks,Sandwich,Egg Mayo Breakfast Sandwich,,,,
1017,Starbucks,Cake,Kolak Ubi Cake,,,,
1018,Starbucks,Cookies,Sweet Dates Cookie,,,,
1021,Starbucks,Pastry,Butter Croissant,,,,
1022,Starbucks,Pastry,Cinnamon Rolls,,,,
1023,Starbucks,Burger,Peanut Butter Panini Sandwich,,,,
1024,Starbucks,Cake,Classic Dark Chocolate,,,,
1025,Starbucks,Pastry,Raisin Oatmeal Scones,,,,
1026,Starbucks,Circle pie,Cheese Quiche,,,,
1027,Starbucks,Pastry,Chocolate Croissant,,,,
1028,Starbucks,Burger,Tuna Cheese Whole Wheat Panini,,,,
1029,Starbucks,Cake,Via Red Velvet,,,,
1030,Starbucks,Burger,Beef Filone Sandwich,,,,
1031,Starbucks,Cake,New york cheese cake,,,,
1032,Starbucks,Circle pie,Smoked Beef Quiche,,,,
1033,Starbucks,Cake,Scarlet Velvet Cake,,,,
1034,Starbucks,Cake,Espresso Brownies,,,,
1035,Starbucks,Burger,Smoked Beef Mushroom & Cheese Panini,,,,
1036,Starbucks,Sandwich,Classic Tuna Toastie,,,,
1037,Starbucks,Pastry,Almond Croissant,,,,
1038,Starbucks,Cookies,Cookies,,,,
1039,Starbucks,Pastry,Tuna Puff,,,,
1040,Starbucks,Circle pie,Spicy Tuna Bread,,,,
1041,Starbucks,Pastry,Beef Sausage & Cheese Croissant,,,,
1070,Dunkin' Donuts,Sandwich,Scramble Egg with Cheese,,,,
1071,Dunkin' Donuts,Sandwich,Smoked Chicken with Cheese,,,,
1072,Dunkin' Donuts,Sandwich,Smoked Beef with Cheese,,,,
1073,Dunkin' Donuts,Sandwich,Smoked Chicken with Egg and Cheese,,,,
1074,Dunkin' Donuts,Sandwich,Smoked Beef with Egg and Cheese,,,,
1075,Dunkin' Donuts,Waffle,"Ddoffle Isi 3 (Original, Cheese, Cinnamon)",,,,
,Dunkin' Donuts,Donuts,Donut paket 6,,,,
,Dunkin' Donuts,Donuts,Donut paket 12,,,,
1078,Dunkin' Donuts,Donuts,Donut fancy,,,,
1087,Baskin-Robbins,Ice cream,2 pint,,,,
